"t","napoved"
1485,3524.5965541711
1486,3528.35078822384
1487,3532.10867056808
1488,3535.87020120384
1489,3539.63538013111
1490,3543.40420734988
1491,3547.17668286018
1492,3550.95280666198
1493,3554.73257875529
1494,3558.51599914012
1495,3562.30306781646
1496,3566.09378478431
1497,3569.88815004367
1498,3573.68616359454
1499,3577.48782543692
1500,3581.29313557082
1501,3585.10209399622
1502,3588.91470071314
1503,3592.73095572157
1504,3596.55085902152
1505,3600.37441061297
1506,3604.20161049594
1507,3608.03245867041
1508,3611.8669551364
1509,3615.7050998939
1510,3619.54689294291
1511,3623.39233428344
1512,3627.24142391547
1513,3631.09416183902
1514,3634.95054805408
1515,3638.81058256065
1516,3642.67426535873
1517,3646.54159644832
1518,3650.41257582943
1519,3654.28720350205
1520,3658.16547946618
1521,3662.04740372182
1522,3665.93297626897
1523,3669.82219710763
1524,3673.71506623781
1525,3677.61158365949
1526,3681.51174937269
1527,3685.4155633774
1528,3689.32302567362
1529,3693.23413626136
1530,3697.1488951406
1531,3701.06730231136
1532,3704.98935777362
1533,3708.9150615274
1534,3712.84441357269
1535,3716.7774139095
1536,3720.71406253781
1537,3724.65435945764
1538,3728.59830466898
1539,3732.54589817183
1540,3736.49713996619
1541,3740.45203005206
1542,3744.41056842944
1543,3748.37275509834
1544,3752.33859005875
1545,3756.30807331067
1546,3760.2812048541
1547,3764.25798468904
1548,3768.2384128155
1549,3772.22248923346
1550,3776.21021394294
1551,3780.20158694393
1552,3784.19660823643
1553,3788.19527782044
1554,3792.19759569597
1555,3796.203561863
1556,3800.21317632155
1557,3804.22643907161
1558,3808.24335011318
1559,3812.26390944626
1560,3816.28811707085
1561,3820.31597298696
1562,3824.34747719458
1563,3828.3826296937
1564,3832.42143048435
1565,3836.4638795665
